id;name;jhi_key;type;value
1;Coordinator Concrete Money;Strategist Bohrium;witness North;person Sports
2;XSS gosh;McGlynn;Westland;Beauty hit Plastic
3;unde Auto Luxurious;Functionality Alabama capacitor;Nobelium;Upgradable
4;nifty who plum;Mini;red Ruble Global;male East
5;connecting Tools;synthesize;alert Malaysia Account;strategy
6;collaborative assumenda;applications Northeast Group;Associate West Intersex;array noteworthy
7;laborum quia turquoise;Manat;program Silicon Specialist;Southeast logistical Arsenic
8;Tactics ugh sharply;North;phew copying;software Electronic intelligent
9;North volt;uniform Central;Chile Rock an;regional
10;pascal Northeast;Savings Hyundai gosh;quidem;tempora dynamic
