id;quantity;customer_notes;food_extra_ids_list;food_ingredient_ids;food_ingredient_removed_ids
1;4155;index joyously Diverse;asynchronous;AGP City West;back nemo
2;87838;Borders Northwest;paradigms Synergized seize;quantifying;Account Pickup
3;81054;Smart West;Customer until;Accountability;North Prairie
4;64716;Helium Jersey Gloves;insolence beneath Incredible;Southeast strident Northwest;safely
5;90547;Integrated cultivate seize;Indiana Gloves override;Gasoline;withdrawal Faso Buckinghamshire
6;65559;ah;Hampshire Wooden;Southwest olive;criticise Handcrafted World
7;65997;New Future Electric;haptic;Soul compress;of UDP
8;32416;Assistant;turquoise Bacon;Tasty psst Woman;Mouse
9;57396;Specialist DNS;Accountability salmon Concrete;deposit;Blues notwithstanding between
10;45531;Rustic;Sausages Bicycle worth;Roentgenium;IB deposit
