id;name;name_ar;name_en;menu_order;image_url;image;image_content_type;notes;is_active
1;to;Maine program;Roel seamless;80279;input Platinum Trial;../fake-data/blob/hipster.png;image/png;Gasoline Investment;true
2;Rap even yippee;incubate;Mobility;91815;Awesome Neutrois;../fake-data/blob/hipster.png;image/png;evolve;true
3;Northwest;Prohaska;upon petitioner Eritrea;6245;Bedfordshire;../fake-data/blob/hipster.png;image/png;Savings Rubber hardware;false
4;virtual;Steel copy concerning;parsing singing;87806;drat collocate Web;../fake-data/blob/hipster.png;image/png;Bicycle Michigan Rubber;false
5;logistical Rubber Small;Keyboard East than;Northeast Jazz Van;46264;Account;../fake-data/blob/hipster.png;image/png;methodology;true
6;Indiana army sensor;Palladium;Bicycle beneath ivory;59989;Personal innovative;../fake-data/blob/hipster.png;image/png;SUV Wooden;true
7;lime;Southeast Niobium;architectures San;56506;Neon Dollar Chicken;../fake-data/blob/hipster.png;image/png;Deja Northwest Shoes;false
8;Lawrencium;Customizable Lakeville;female;23171;sky Hialeah Northeast;../fake-data/blob/hipster.png;image/png;Persevering;true
9;whiteboard intently National;primary Industrial;Rubber;82536;Ridge wireless;../fake-data/blob/hipster.png;image/png;Southwest Northeast;true
10;parsing interface bucketful;GB;Minnesota bah;85564;Industrial South;../fake-data/blob/hipster.png;image/png;virtual Rican Handcrafted;false
