id;name;name_ar;name_en;latitude;longitude;plus_code;radius;is_active
1;Principal;Sodium man;Hip Rhodium;29008;95104;clutch Metrics conglomeration;43963;true
2;gold;Avon Frozen Polestar;Tesla Loan;89010;49722;Rochester male;16838;false
3;provided;Fundamental;Thailand magenta;6592;1500;Oriental Skokie;7134;true
4;Hryvnia conglomeration;Granite;Course South;60238;472;Electronics networks Bedfordshire;15901;false
5;Virtual;haptic;THX And;99992;6662;Kentucky Albania;97601;true
6;Baby man;wireless;Madison Automotive;1315;82322;Marketing Bicycle intelligence;88698;false
7;following;Baby Convertible;Hatchback Wooden 1080p;26293;27550;Manager Funk optimist;75932;false
8;Tenge between South;pink;Lead Steel;77047;50234;Consultant Francium Internal;98403;false
9;Classical Jazz;hack;Oregon;42545;92154;Technetium;69215;false
10;harness sky;Bicycle Senior Consultant;Phased COM Music;70324;2681;generating male;89635;true
