id;code;coupon_type;amount;minimum_amount;use_limit;use_count;expiry_date;is_active;notes
1;XML withdrawal;PERCENT;66653;97139;66928;95218;2023-07-06;false;Country Folk
2;SUV;PERCENT;22411;49054;70039;14179;2023-07-05;true;Transexual
3;Checking;FIXED;31639;14672;19169;88883;2023-07-05;true;wax Frozen Greenland
4;Agent Deon Granite;FIXED;32119;89937;53310;12025;2023-07-06;true;vortals Account National
5;COM Fiat Bedfordshire;FIXED;17424;88983;2996;66202;2023-07-05;true;remonstrate Iranian AGP
6;Diesel Convertible;FIXED;68927;60175;60494;78742;2023-07-05;true;Southeast Bedfordshire joule
7;Southwest;PERCENT;39203;67379;37068;28212;2023-07-05;false;Executive Man
8;withdrawal capacitor;PERCENT;78076;71698;9078;12718;2023-07-05;false;HEX demilitarize driver
9;Colon orchid;FIXED;96524;92119;47052;22148;2023-07-06;false;bluetooth
10;expedite;PERCENT;81325;80279;28685;86796;2023-07-05;false;Pound parade gray
