id;name;name_ar;name_en;is_active
1;Frozen channels;possimus;North Avon;false
2;CFA monetize;alarm Cambridgeshire Bike;Hyundai firewall;true
3;rigidly ew;South becquerel up;Island intermediate;false
4;payment North;Lead veto deposit;Utica Principal Regional;false
5;overriding Konopelski;Platinum;transmitter meh Representative;true
6;Chevrolet;North female;West male;true
7;Smart however spectate;violet;female;false
8;thoughtful;directional;Legacy vivid;true
9;Exclusive relationships;mixer tangible Pants;solid;true
10;Tactics;navigating calculate interpose;FTM Convertible;false
