id;latitude;longitude;plus_code;location_date_time
1;19618;76791;Palladium;2023-07-05T19:44:46
2;51220;24372;indigo Novi;2023-07-05T07:29:24
3;19069;53652;Fresh Lead;2023-07-05T05:31:40
4;44241;55319;Beauty Bugatti;2023-07-05T17:45:15
5;13641;71125;Argon;2023-07-05T14:05:39
6;13277;57896;pink;2023-07-05T14:43:23
7;54354;93830;Data;2023-07-06T00:44:46
8;1413;85721;Virginia Algerian connect;2023-07-05T12:32:10
9;90883;4390;zero;2023-07-05T12:26:20
10;84389;19410;besides architect;2023-07-05T22:59:09
