id;transaction_no;amount;wallet_action;total_before_action;total_after_action;payment_type;payment_reference;order_id;notes
1;redundant East Account;9047;DEPOSIT;31359;66399;SADAD;engage;Zinc microchip;Wagon Hicksville
2;Factors;21516;WITHDRAW;94815;34194;MOBICASH;zowie Interface;deposit Garden;orderly Legacy
3;Cotton experiences;60075;DEPOSIT;39293;99697;TADAWUL;volt parsing Account;South Non;spade prattle South
4;maroon;42734;DEPOSIT;73124;59211;WALLET;Swaziland;male deposit Metairie;brr
5;Cotton;33725;DEPOSIT;11909;64851;MOAMALAT;Grocery digital;Coordinator;interactive Architect East
6;Southeast Texas Ford;82990;WITHDRAW;25606;35879;WALLET;Southwest;Lamborghini;Northwest
7;Modern;28172;WITHDRAW;83766;36361;SADAD;olive Mobility Gold;Account;moratorium Willms
8;pink Lamborghini;84537;WITHDRAW;5049;68674;MOBICASH;assumenda Sudan;Sedan invoice;Vegas drive Regional
9;Computer Frozen;95095;DEPOSIT;8634;73597;WALLET;conglomeration Concrete;exhume;Hybrid Norway
10;Planner optimizing;45;WITHDRAW;5779;84045;WALLET;Severn red;Michigan Kids;impactful deposit
