id;name;name_ar;name_en;price;discount_price;description;description_ar;description_en;package_items_count;daily_quantity;is_available;is_discount;is_featured;is_active;view_counter;notes
1;freely stub Soft;Forge Data Card;Bicycle;79043;37434;Yvette zowie Southeast;metrics;transmit Extended;27256;18329;true;true;true;true;75852;withdrawal
2;Loan Trans tolerance;orange;often;52597;39538;wildebeest;Astatine Pizza;Claudine Developer Rhode;67306;45521;true;true;true;false;81901;Southeast convergence North
3;Elyse Northeast;turquoise Handcrafted barring;seize Product female;58687;21589;powerfully Frozen;Tellurium;modernise;57751;91111;true;true;false;true;49896;Loaf
4;Assimilated generating;Savings;Krypton white Mouse;63899;27443;Van redundant;blockchains;Lead;72406;17753;false;true;false;false;24565;motivating a
5;Nihonium;withdrawal Bugatti Road;programming alienate Rock;21247;17040;blanditiis;Towels definition Thallium;Avon Web;55027;70758;true;true;true;true;10850;libero Folk
6;Diesel Cobalt;deposit Tuna weber;Wagon connect Convertible;54652;53132;Account Virginia Steel;openly Table Pennsylvania;quaintly dolores;18323;68452;false;true;false;true;47545;payment
7;Extended Bicycle;BMX Personal Dollar;briefly;25458;68278;behind however;DNS finally encrypt;BMX;85562;97942;false;true;true;false;67615;male
8;male;Health Gorgeous;index assignment;53321;87462;Von Tungsten;meanwhile payment Plastic;Developer Kia;34163;65436;false;false;true;false;48792;sensor
9;Car Hybrid Human;Southeast;Awesome Southwest card;89591;12778;migration generating Fish;quantifying payment;male gold Architect;97878;31236;false;false;true;false;95417;connect
10;Regional digital Female;tinkle;maroon;94372;95834;West;Northwest Dynamic Thulium;strudel although proclaim;26787;33164;true;true;false;false;25673;generating deposit South
