id;name;name_ar;name_en;price;notes
1;afore ew Mozambique;Northwest;hmph plain;146;Loan ut copy
2;East bluetooth;fast Cotton;violet around;2138;bitter
3;Genderqueer Nissan;to;primary violet;89916;Gallium henry South
4;although COM East;Account;finally;23778;infomediaries Greens
5;vero Waco;Wagon compress Fiat;orange calculate female;4218;Chevrolet
6;perferendis;Response Data;Aston;59393;Tandem Bacon Diesel
7;second;Pickup synthesizing Direct;Southwest;37157;Human
8;Cambridgeshire;Mishawaka Motorway Batz;Generic;70764;now Van Turks
9;Northeast;promulgate Bike;Branding Uruguay;41656;dog Vista
10;East Utica exuding;Oriental;Account;98235;SDR Mobility not
