id;description;description_ar;description_en;menu_order;image_url;image;image_content_type
1;Fiji violet National;Cambridgeshire Mini;Land Louisiana;45988;quantify Mountain;../fake-data/blob/hipster.png;image/png
2;quaint programming;Associate;Binghamton API SSD;7070;payment Club Som;../fake-data/blob/hipster.png;image/png
3;Southeast FTP;finally;unless Country streamline;5022;turquoise digital;../fake-data/blob/hipster.png;image/png
4;Handcrafted magenta;end;Cambridgeshire Persistent;23253;oof;../fake-data/blob/hipster.png;image/png
5;withdrawal;female Intelligent;unseat Streamlined Orchard;84982;OCR Pants;../fake-data/blob/hipster.png;image/png
6;Genderflux;ping;Hat niches clot;22008;hack Gloves;../fake-data/blob/hipster.png;image/png
7;turquoise bypass;program Compatible throughput;Aluminium;95334;Kenya Producer Delaware;../fake-data/blob/hipster.png;image/png
8;port Soft;District;steradian yahoo;39596;third;../fake-data/blob/hipster.png;image/png
9;Toys;benchmark meanwhile;Cotton;76910;Bicycle worriedly Division;../fake-data/blob/hipster.png;image/png
10;payment customized Osborne;VGA Direct;Touring state;56035;henry Granite payment;../fake-data/blob/hipster.png;image/png
