id;price;quantity;total;special_notes;food_extra_ids_list;food_ingredient_ids;food_ingredient_removed_ids
1;78962;89562;75168;salmon Engineer Group;Card Electronic;customized;ugh
2;99759;14779;63436;outlying;shrine;hm Bicycle purple;Southwest Southeast
3;73183;41584;27455;Blues;Hybrid male Car;Tools magenta Planner;Southeast
4;48237;56233;25132;interface;TCP;Connecticut bus;generating Synchronised eek
5;30126;4186;92537;TCP Connecticut;male auxiliary recrudesce;Coordinator HTTP North;but Soap tan
6;18950;29486;59740;District;system;Mobility Security;Libyan portal Gardens
7;67980;36495;69543;male Home;Buckinghamshire anchor Handmade;North;Borders
8;10449;22198;9905;Ergonomic;cupiditate Strategist;Graphic Borders Movies;compelling
9;67775;34659;61559;Diesel;engage Electric redundant;expedita;Planner withdrawal
10;59514;38318;35027;Orchestrator Modern North;connect Lights;Female Hybrid Credit;Luxurious Fresh
