id;order_no;company_amount;restaurant_amount;delivery_fee;items_price;discount;total;latitude;longitude;plus_code;payment_type;is_approved_by_driver;is_approved_by_restaurant;is_payed;amount_recived;amount_remaining;customer_notes;restaurant_notes;driver_notes;order_status;order_type;delivered_at;notes
1;Rial;35393;30644;86067;37792;1092;35871;29931;25155;Berkshire blue Hybrid;MOAMALAT;true;false;true;65223;71459;newton;Hatchback deliver;female compressing interfaces;CANCELLED;DELIVERY;2023-07-05T23:23:13;Towels port those
2;Garden circuit Ergonomic;28646;52865;1607;8783;55866;33147;35333;7589;North Intelligent Corvallis;ADFALI;false;true;true;89169;62854;attainment BMW niches;shrilly IB envisioneer;Fitness;READY_FOR_PICKUP;PICKUP;2023-07-05T22:43:14;calculating East possimus
3;niches Mauritania Dinar;85758;92087;34820;8543;36327;71205;19145;58091;invoice;CASH;false;true;true;28805;23323;invoice amber DRAM;Pickup;navigate;ACCEPTED;PICKUP;2023-07-05T05:12:33;Configurable Consultant South
4;generally Mobility;54839;33461;77641;15969;6467;28502;90925;22233;Southeast Boron JSON;ADFALI;false;true;true;53720;37305;angina input Account;payment;fuchsia female as;ACCEPTED;DELIVERY;2023-07-06T00:20:50;male
5;Pakistan;11733;42690;11850;37186;19906;67806;16218;4125;revolutionize highlight;MOBICASH;false;false;true;3222;34266;Market Southwest giving;Northeast;Mouse;CANCELLED;PICKUP;2023-07-05T15:14:39;Thorium generate
6;Electronics Seamless UTF8;99268;51485;90946;68624;45323;37777;74074;47520;geez Lutetium;CASH;true;true;true;1988;48283;Kwanza;Southeast;ASCII Deerfield Gorgeous;READY_FOR_PICKUP;PICKUP;2023-07-05T11:26:05;female
7;Strategist neural Bicycle;81888;84856;91684;84215;95524;81588;64073;87720;hence Planner;SADAD;false;false;true;58659;89334;Metical beneath Bronze;honestly matrix;and;PLACED;PICKUP;2023-07-05T15:37:36;BMW input Polygender
8;Usability Holmium;94057;67334;79297;69847;38328;27989;43292;52676;parser implementation Fresh;MOBICASH;false;true;true;20333;12713;cyan;technologies Adventure trivial;synergies primary orchid;READY_FOR_PICKUP;PICKUP;2023-07-05T10:02:51;deliberately Southwest
9;Bismuth;53761;96968;94049;50874;79025;57198;87909;58895;Borders;MOBICASH;true;true;true;51858;61821;magenta phooey;transmitter volt;indexing;FAILED;PICKUP;2023-07-05T07:37:49;Investor taxi freely
10;consequently;80283;80328;59380;76521;95296;53721;9103;6664;vainly provided auxiliary;MOBICASH;true;false;false;57541;92851;Carolina yellow Virtual;Generic Facilitator;connect Caicos;DELIVERED;PICKUP;2023-07-05T08:09:43;incidentally Colton
