id;name;name_ar;name_en;menu_order;image_url;image;image_content_type;details;fee_percentage;payment_type;is_active;notes
1;Bicycle Alabama;whoa indeed Shoes;Cambridgeshire Protactinium;596;delayed female crossly;../fake-data/blob/hipster.png;image/png;calculating Gasoline;24212;WALLET;true;Southwest round
2;France Europium Account;West;digital Convertible;76565;Money Cambridgeshire proactive;../fake-data/blob/hipster.png;image/png;monitor newton;95835;ADFALI;true;West ROI
3;Convertible Peso calm;protocol;driver Executive Shoes;93981;Bacon colorize Market;../fake-data/blob/hipster.png;image/png;withdrawal Road;2263;ADFALI;true;turquoise Northeast
4;pish tan meh;Soap Indiana;TLS female;6761;inasmuch Inverse Northwest;../fake-data/blob/hipster.png;image/png;payment Account;20787;MOAMALAT;false;Chrysler wheel
5;Mesa RSS;array Handmade;Corporate Ameliorated;92266;matrix valiantly;../fake-data/blob/hipster.png;image/png;drat Diesel mint;12989;ADFALI;true;North Somalia Computers
6;North;mandolin Electronic Neodymium;Russian;21246;Wooden;../fake-data/blob/hipster.png;image/png;Manager Intelligent male;94923;TADAWUL;true;Rial Passenger
7;veniam;Dollar Utah katal;Female;42591;Dinar;../fake-data/blob/hipster.png;image/png;innovative Shirt;93911;MASTERCARD;false;Ford
8;hastily;edge;Maserati Iowa Beryllium;7535;Borders;../fake-data/blob/hipster.png;image/png;following;53208;CASH;false;Account
9;Country;Europium lavender;Automotive until;43262;virtual furiously;../fake-data/blob/hipster.png;image/png;Blues Northwest;84647;MOBICASH;true;Credit diverge
10;Gasoline;Southeast Direct;Wooden unless;91706;mint black Legacy;../fake-data/blob/hipster.png;image/png;Computers interestingly;60386;MOAMALAT;false;Southeast International fowl
