id;referral_code;referrer_amount;referred_customer_amount;expiry_date;is_used;used_date_time;notes
1;Belarus application Rubber;26243;27268;2023-07-05;true;2023-07-05T06:47:13;Hawaii
2;Dynamic online Gorgeous;38267;78818;2023-07-05;true;2023-07-06T02:08:40;capacitor
3;hippodrome;97179;28685;2023-07-05;true;2023-07-06T01:08:26;Investment RSS driver
4;Southwest Virginia;11790;24331;2023-07-05;true;2023-07-05T04:43:03;Southeast Thallium coaxingly
5;Berkshire;26915;56103;2023-07-05;true;2023-07-05T07:06:16;male Singapore
6;Gloves;36581;81616;2023-07-05;false;2023-07-05T20:01:04;Village before Northwest
7;Georgia Clothing transmit;87855;48834;2023-07-06;true;2023-07-05T12:01:53;networks
8;nutritious Qatar;6405;23186;2023-07-06;true;2023-07-05T17:30:25;Liaison Passage Consultant
9;Account;99807;43874;2023-07-05;false;2023-07-05T17:40:31;Pizza
10;blue TCP;3360;17045;2023-07-05;true;2023-07-05T13:30:39;female
