id;name;name_ar;name_en;description;address;latitude;longitude;plus_code;mobile;estimited_time_mins;delivery_fee;delivery_range;available_for_delivery;available_for_pickup;minimum_order_total_for_delivery;delivery_price_type;is_open;is_featured;is_listed_in_offers;is_active;offer_banner;priority;view_counter;scheduled_closing_time;facebook_page_url;notes
1;Xenon Tuna Versatile;Sweden;Hybrid;West;Southwest;6884;38271;enhance;Texas Computer;50073;81559;76869;false;false;14531;ZONE;true;false;false;false;politely bus;62218;38649;UTF8 nostrum;purple;EXE hybrid
2;Terrace Tesla;Developer North plus;Car Principal transform;afore Delaware Pizza;Wagon Point;97985;22657;Arsenic Chips streamline;West;2162;44745;73921;false;true;46838;DISTANCE;true;true;true;true;Xander;69198;91848;abaft female;incidunt Outdoors Advanced;Gourde pro pascal
3;Gasoline;Northeast;gold carelessly;Southwest Rock;Oral Tactics;4133;78305;Chips;sensor;11950;13600;96349;true;false;61576;FIXED;false;false;true;false;Alaska Tanzanian Avon;7368;15817;Chief South hmph;fondly;North Lead
4;Investment;reboot Track mobile;Bicycle Classical Steel;program oh Integration;Generic Southwest methodologies;2516;86329;Bugatti Pizza vice;Bicycle Northeast Spur;17837;46871;50103;false;false;98022;FIXED;true;false;true;true;Toys calculating top;67985;18071;Elegant;Polestar;New Van
5;Hatchback content Clarksville;magenta Cotton Grocery;local;Investment Representative Jaguar;Computers World VGA;65558;15658;National East Southeast;statement Alaska;96336;13071;33391;false;true;25713;ZONE;true;false;false;true;live Cheese;26614;14815;Books tangible connecting;secondary;turquoise leverage
6;female Rhenium;Taiwan violet;Awesome volt Holmium;female;South;71814;42239;beyond;Nissan;21180;75674;79082;true;false;84927;ZONE;false;false;false;true;Northeast sardonic um;27612;44825;Auto Towels Sedan;BMX Assistant brr;Frozen defensive withdrawal
7;heavily United Androgyne;SUV;system red;zero embrace North;microchip North;16867;42456;Tools Armenian;facilitate degree;86889;32311;99997;false;true;60144;FIXED;false;true;false;true;amid;5472;18849;Pop yowza architectures;reinvent terminology solid;deeply
8;lime North amongst;Gloves female Rubber;Thallium Dodge calculate;milky relationships;wherever Diesel Rhode;60011;55554;Lebsack Plastic wireless;deposit haptic;7353;98938;34053;false;false;98518;FIXED;false;true;true;true;sadly vortals mainstream;845;40832;female;quam Mouse Bicycle;navigating Forward niches
9;Androgyne;Rustic circuit Mentor;Tasty;laudantium;Directives Latin synthesizing;51776;40820;net Hybrid Credit;East inside;23291;42421;88187;true;true;52646;ZONE;false;true;true;true;Northeast;94970;18276;Keyboard magenta;dignissimos;synthesizing jaggedly
10;Southeast;id Southeast nor;Bicycle Georgetown Advanced;Chief;Gorgeous;55292;56458;SMS Jeep;Fresh Blaine;33973;72872;50724;true;true;45554;FIXED;true;false;true;false;Classical ruminate Keely;99392;78043;Hatchback Bentley activate;magni Hat Rubber;yearningly illiteracy Forward
