id;day_of_week;opening_time;closing_time
1;FRIDAY;Southeast;manservant Pants wheel
2;MONDAY;Northwest Reggae male;North Folk safely
3;THURSDAY;Upgradable pascal niches;Gasoline Somerville
4;FRIDAY;Chips Bike Spain;majestically
5;FRIDAY;driver Hermaphrodite Intersex;Agent
6;WEDNESDAY;protocol Cambridgeshire;fondly green
7;TUESDAY;Usability Hatchback;Electric playfully
8;SUNDAY;port;microchip HDD Lead
9;FRIDAY;synthesize;Lakeland briskly Gateway
10;THURSDAY;Optimization whoa World;Administrator Facilitator ack
