id;transaction_no;amount;wallet_action;total_before_action;total_after_action;payment_type;payment_reference;notes
1;Card Concrete;31650;DEPOSIT;48877;36165;MASTERCARD;Blues Southwest candela;Persevering
2;methodical plum female;53120;WITHDRAW;61502;84557;SADAD;West overriding;GB
3;Borders incidentally;24275;DEPOSIT;14624;26460;MASTERCARD;azure UDP Neither;Passenger quaerat Customer
4;South pfft modular;1059;DEPOSIT;15082;37183;MOBICASH;Pickup Reunion matrix;wireless Tuna Plastic
5;neutral Agender;89829;DEPOSIT;88987;94570;SADAD;Agent;Handmade invigorate index
6;deposit invoice delectus;7849;WITHDRAW;4238;49814;SADAD;optio;Nihonium
7;Infrastructure quod Engineer;87896;WITHDRAW;5567;98371;WALLET;Northwest productize;RAM
8;Data balls;30135;DEPOSIT;27710;88965;SADAD;Sheqel District generate;Quality
9;slick barring deliver;79733;DEPOSIT;41083;38055;WALLET;since;Associate
10;Chief;1117;WITHDRAW;46046;39623;SADAD;Bedfordshire;primary
