id;details;details_ar;details_en;menu_order;image_url;image;image_content_type;url;restaurant_id;category_id;food_id;notes
1;Hop Customer Berkshire;Dakota Hydrogen;and backing;71403;Trigender Nicolas;../fake-data/blob/hipster.png;image/png;http://cute-crisp.org;9062;73302;35591;models worry
2;Silicon Designer;Genevieve;Passenger;56040;card exploit Bugatti;../fake-data/blob/hipster.png;image/png;http://giving-medication.net;3615;97742;96162;Curium Jaiden
3;tan Gasoline;Interactions;Granite;25665;feline Loan;../fake-data/blob/hipster.png;image/png;http://our-woodwind.com;64026;680;2648;UTF8 Oklahoma Operations
4;bypassing;Key Borders;quantifying hertz;82734;Tricycle Interactions Mouse;../fake-data/blob/hipster.png;image/png;https://grouchy-township.info;37286;61206;76511;Designer
5;Hatchback collector;Sodium;Metal Handcrafted female;78742;RAM Awesome vainly;../fake-data/blob/hipster.png;image/png;https://optimal-reactant.name;24919;3813;88019;nam Tandem invoice
6;Avon invoice;Investor;Cargo horrible Southeast;81153;male;../fake-data/blob/hipster.png;image/png;http://arctic-polyester.biz;27465;57538;19258;Rutherfordium
7;Electric Recumbent;Northeast override mobile;Engineer Rubber;40562;Bicycle;../fake-data/blob/hipster.png;image/png;http://expensive-nonconformist.net;67342;33367;2637;Mouse
8;Crew Lead officiis;intermediate elastic;Lek next;7058;input Sports;../fake-data/blob/hipster.png;image/png;https://busy-billion.biz;74759;17114;86699;Gasoline
9;ivory;authentic;tandem laboriosam;66936;South Riel Mauritania;../fake-data/blob/hipster.png;image/png;https://minty-swordfight.info;21530;82781;92315;Bicycle hic
10;Direct;evolve Rhenium;blue Celsius;91127;Luxurious Integration functionalities;../fake-data/blob/hipster.png;image/png;https://crooked-musician.biz;53022;42940;77546;efficient Volkswagen
