id;transaction_reference;payment_type;transaction_status;vendor_reference;vendor_message;amount;fees;total;notes
1;Practical;MOAMALAT;ERROR;Southeast payment;Synergized;77059;22829;18046;nothing Northeast quantify
2;Sedan communities Northwest;ADFALI;CANCELLED;East SQL Avon;and Indium;30101;26067;39406;Northeast
3;phew IB;MOBICASH;ERROR;tesla;white Passenger;7088;64548;20674;wireless
4;female white;MOBICASH;ERROR;gee auxiliary;Metal henry Wagon;82467;3489;39086;Thallium Principal
5;Home Handmade katal;MOBICASH;CANCELLED;Awesome;Folk on Guilder;31003;55318;40499;vastly
6;solid Cambridgeshire;MASTERCARD;PENDING_PAYMENT;Electric navigate;Generic;76658;19733;32605;Associate inasmuch
7;South Northwest;MASTERCARD;PENDING_PAYMENT;Manager;mole East;44789;37939;35652;nihil Fantastic East
8;however Southeast lavender;MOAMALAT;ERROR;navigate Kenya gosh;Berkshire;65081;84755;45740;Rolls
9;except;ADFALI;ERROR;Loan invoice pascal;East encryption teal;10040;77324;65746;Directives Helena Southwest
10;hmph;MOBICASH;CANCELLED;Folk;mosh Gold Reggae;77197;13939;89887;lime homogeneous
