id;name;name_ar;name_en;latitude;longitude;plus_code;radius;is_active;notes
1;Southeast;Bedfordshire Rap Regional;pink;18044;35581;Communications Iranian;19497;false;pay
2;Granite Tuna;USB Bridge;toward;47324;66191;West black Directives;91260;false;female discrete
3;sensor East;Visionary;Customer;54107;25864;Reduced multimedia;94286;false;Wooden Northeast
4;Southwest;Usability;generate Paraguay;22144;67495;until;68843;true;aha Avon
5;Niobium suscipit Garden;black mobile experiences;Pickup Flerovium;80335;69652;Thorium;26189;true;Strategist teal bypassing
6;synergy;calculating;ex;35703;57554;Tandem Tesla;20501;true;metrics
7;Triathlon/Time Product Mexico;Bicycle;monetize creative;4248;97544;secured Hatchback Northeast;55258;false;Oxygen
8;on plum IP;synthesize impactful;Jacobs;15669;29886;Hybrid;55166;true;Pennsylvania analyzing intuitive
9;Manager Southeast Latin;Table static;Van;75604;58065;Electronic;23535;true;female Crew
10;solidly Automotive;male save;generating quantify SAS;47693;78755;farad South Money;95957;false;Producer
